index,u,v
0,0.551410,0.354197
1,0.478141,0.439372
2,0.455345,0.334691
3,0.534345,0.395542
4,0.437211,0.469270
5,0.422478,0.371806
6,0.526777,0.346901
7,0.480674,0.427897
8,0.484038,0.325644
9,0.580176,0.331885
10,0.516410,0.396474
11,0.394318,0.437529
12,0.381486,0.554947
13,0.465015,0.520599
14,0.500193,0.389569
15,0.560086,0.289190
16,0.642440,0.374492
17,0.592734,0.481211
18,0.486482,0.570912
19,0.458477,0.686994
20,0.573077,0.708002
21,0.642665,0.603649
22,0.537928,0.574984
23,0.594512,0.632010
24,0.556406,0.553314
25,0.487458,0.654125
26,0.605489,0.696874
27,0.647056,0.597666
28,0.536479,0.587076
29,0.587957,0.675591
30,0.622739,0.589196
31,0.507207,0.552666
32,0.602455,0.523811
33,0.565372,0.587543
34,0.488475,0.493865
35,0.572751,0.406250
36,0.595706,0.457401
37,0.485329,0.479859
38,0.533594,0.448435
39,0.581548,0.359137
40,0.618450,0.445720
41,0.510660,0.536535
42,0.533299,0.649025
43,0.624766,0.582592
44,0.568483,0.460946
45,0.535625,0.360683
46,0.631858,0.314240
47,0.681548,0.419631
48,0.609919,0.533475
49,0.487581,0.562316
50,0.433124,0.472119
51,0.542733,0.442360
52,0.606566,0.526901
53,0.490402,0.539883
54,0.487204,0.431676
55,0.605773,0.444741
56,0.664044,0.556813
57,0.658915,0.695874
58,0.575354,0.707999
59,0.636078,0.586908
60,0.624087,0.474091
61,0.519874,0.467296
62,0.409520,0.503554
63,0.408216,0.404845
64,0.515945,0.375959
65,0.483345,0.476977
66,0.447270,0.582706
67,0.538187,0.668160
68,0.668714,0.697653
69,0.673950,0.568606
70,0.645385,0.439735
71,0.539839,0.426372
72,0.498778,0.546164
73,0.539196,0.651255
74,0.632659,0.633222
75,0.563297,0.543976
76,0.467421,0.606660
77,0.503483,0.724232
78,0.605883,0.722071
79,0.626059,0.586181
80,0.538461,0.495489
81,0.452613,0.412454
82,0.564632,0.394171
83,0.624237,0.506995
84,0.647748,0.639121
85,0.573363,0.723779
86,0.456916,0.669282
87,0.465342,0.549426
88,0.542205,0.446949
89,0.634909,0.474734
90,0.622482,0.603404
91,0.536383,0.670397
92,0.479133,0.574605
93,0.566919,0.523418
94,0.606868,0.628030
95,0.502527,0.603705
96,0.527741,0.504645
97,0.594929,0.396707
98,0.546819,0.291161
