index,u,v
0,0.877280,0.641133
1,0.817354,0.455102
2,0.636367,0.528113
3,0.415024,0.449802
4,0.282238,0.478388
5,0.291561,0.455109
6,0.166576,0.370495
7,0.330386,0.511515
8,0.230221,0.474663
9,0.374363,0.604117
10,0.347281,0.715348
11,0.482966,0.516367
12,0.550599,0.421953
13,0.619022,0.385898
14,0.786072,0.509242
15,0.963355,0.427177
16,0.871802,0.357979
17,0.682987,0.412325
18,0.686704,0.569616
19,0.740899,0.707679
20,0.566109,0.562818
21,0.620475,0.392245
22,0.727718,0.493724
23,0.783737,0.607844
24,0.822000,0.447019
25,0.709942,0.598858
26,0.491977,0.524870
27,0.325174,0.429071
28,0.295865,0.572468
29,0.413162,0.560650
30,0.639000,0.545797
31,0.785727,0.529794
32,0.771390,0.613033
33,0.580854,0.540049
34,0.538012,0.333935
35,0.417567,0.378512
36,0.568145,0.413647
37,0.629206,0.375936
38,0.706216,0.390135
39,0.616237,0.463077
40,0.490176,0.600388
41,0.327389,0.719566
42,0.284030,0.650354
43,0.111285,0.584416
44,0.295427,0.695065
45,0.437498,0.499656
46,0.442119,0.440512
47,0.564194,0.540696
48,0.336226,0.614731
49,0.396937,0.706330
50,0.605605,0.679517
51,0.579987,0.507689
52,0.529356,0.387921
53,0.687929,0.484876
54,0.794044,0.447149
55,0.618762,0.397377
56,0.437878,0.546419
57,0.472547,0.314398
58,0.596249,0.395406
59,0.658700,0.570972
60,0.511230,0.598144
61,0.559708,0.663703
62,0.535673,0.708264
63,0.735204,0.689398
64,0.692087,0.521809
65,0.540319,0.615946
66,0.617205,0.687508
67,0.584894,0.532522
68,0.612069,0.347345
69,0.760144,0.404332
70,0.569362,0.453800
71,0.521885,0.362500
72,0.622330,0.378458
73,0.443400,0.519956
74,0.607739,0.663805
75,0.581393,0.453823
76,0.651630,0.271956
77,0.875224,0.289659
78,0.885547,0.496208
79,0.711499,0.634500
80,0.542739,0.554317
81,0.706051,0.471584
82,0.843767,0.409727
83,0.597436,0.495868
84,0.575357,0.617971
85,0.759987,0.590364
86,0.726722,0.715115
87,0.529904,0.565819
88,0.332172,0.434649
89,0.345698,0.577793
90,0.501540,0.388082
91,0.701558,0.265297
92,0.593320,0.190279
93,0.462334,0.339443
94,0.492828,0.574909
95,0.603253,0.729992
96,0.578025,0.588139
97,0.671983,0.470084
98,0.867469,0.418616
