index,u,v
0,0.528298,0.347529
1,0.586622,0.303188
2,0.493266,0.320975
3,0.516243,0.398146
4,0.493151,0.395326
5,0.550369,0.419945
6,0.480819,0.409668
7,0.530202,0.327922
8,0.571828,0.412257
9,0.585484,0.510822
10,0.562355,0.501512
11,0.559281,0.408625
12,0.495195,0.395718
13,0.568775,0.380875
14,0.585595,0.331276
15,0.575061,0.390419
16,0.566781,0.486734
17,0.487594,0.475312
18,0.483735,0.501069
19,0.473023,0.413894
20,0.552701,0.428824
21,0.544621,0.529550
22,0.450998,0.515982
23,0.432410,0.417250
24,0.451330,0.426779
25,0.494970,0.507584
26,0.532809,0.443452
27,0.462751,0.500920
28,0.544100,0.536908
29,0.476641,0.522568
30,0.490942,0.429098
31,0.513041,0.349826
32,0.479828,0.409033
33,0.548305,0.381654
34,0.503717,0.334659
35,0.447289,0.413579
36,0.503621,0.382341
37,0.434939,0.343287
38,0.447278,0.313409
39,0.480206,0.354176
40,0.481313,0.427477
41,0.482476,0.524386
42,0.571709,0.497518
43,0.577378,0.399110
44,0.539009,0.322322
45,0.458400,0.371513
46,0.515319,0.379920
47,0.463078,0.365015
48,0.523359,0.385876
49,0.457066,0.436032
50,0.473494,0.376173
51,0.521240,0.435310
52,0.497669,0.420371
53,0.555910,0.491491
54,0.485575,0.521662
55,0.555859,0.448816
56,0.529509,0.435017
57,0.483034,0.433165
58,0.554240,0.477678
59,0.472407,0.496202
60,0.464080,0.400484
61,0.517265,0.373963
62,0.451141,0.414544
63,0.502179,0.339076
64,0.571422,0.382388
65,0.497965,0.417822
66,0.460214,0.495453
67,0.431095,0.411219
68,0.463537,0.421908
69,0.463790,0.502848
70,0.515494,0.516325
71,0.502593,0.422344
72,0.470756,0.424024
73,0.516830,0.411601
74,0.513919,0.405858
76,0.560008,0.488716
78,0.531692,0.331187
79,0.551525,0.404308
80,0.534582,0.483972
81,0.545258,0.454170
82,0.514196,0.377740
83,0.535634,0.413062
84,0.504613,0.386209
85,0.452306,0.429834
86,0.415485,0.341339
87,0.497385,0.332733
88,0.566725,0.387020
89,0.535218,0.447431
90,0.580623,0.422225
91,0.550789,0.512808
92,0.456177,0.497571
93,0.440030,0.409484
94,0.443515,0.448520
95,0.467018,0.499070
96,0.426545,0.419864
97,0.437784,0.332902
98,0.484541,0.276921
